article_id,citations_year_1_exact,citations_year_2_exact,citations_first_2y_exact
W2914490130,2,1,3
W4238487483,0,7,7
W2943960172,2,8,10
W3130416631,5,7,12
W2804094548,2,1,3
W2790858493,1,2,3
W2999269041,5,2,7
W2889448944,3,3,6
W3026085232,3,11,14
W3119300158,3,5,8
W2963648586,3,11,14
W3017242165,4,4,8
W3127970642,2,7,9
W3143148242,4,4,8
W4210886202,4,10,14
W3167556499,1,7,8
W4378070202,150,265,415
W3044067219,38,59,97
W2988837284,19,64,83
W2806993282,15,24,39
W4293770982,42,96,138
W4221041604,28,75,103
W2897830120,11,28,39
W2897459387,7,28,35
W3103173649,12,33,45
W3160019526,15,27,42
W2901529854,6,12,18
W3047161383,17,25,42
W3000834351,6,13,19
W2807894597,7,8,15
W4404692346,40,44,84
W3098001326,3,21,24
W2895888243,2,7,9
W3088292389,10,17,27
W2990272218,53,146,199
W2896303451,23,62,85
W2995631322,27,93,120
W4200084972,43,106,149
W2802951056,17,31,48
W3083910680,30,54,84
W3164641649,41,72,113
W2942941363,10,34,44
W3047322504,28,50,78
W2911071331,10,22,32
W2904710350,7,22,29
W3012137949,5,26,31
W2808816276,8,16,24
W2913341777,6,18,24
W2991426639,11,21,32
W3011202783,9,20,29
W3194080861,2,16,18
W2971410101,2,8,10
W2799381382,4,13,17
W2800827317,6,12,18
W4308341370,9,6,15
W3010818447,5,9,14
W3093276570,1,6,7
W3093329998,0,4,4
W4389490598,3,16,19
W4319440893,5,8,13
W4283462037,2,9,11
W4293321339,2,4,6
W4401670091,5,9,14
W4396939053,2,5,7
W3095660270,8,13,21
W2917292254,0,2,2
W2989923037,7,8,15
W3011904401,5,4,9
W3108914021,7,9,16
W3083157755,8,8,16
W3100880091,6,8,14
W2885471089,1,11,12
W2788961991,2,4,6
W2889286660,0,8,8
W3016410151,37,76,113
W2937245784,12,31,43
W4200189258,29,50,79
W2963046423,12,35,47
W4205766186,31,38,69
W2915119646,3,11,14
W2793154560,12,21,33
W2784774344,14,15,29
W2913793637,8,21,29
W2963929228,13,36,49
W2896533596,7,18,25
W2900762485,8,19,27
W2933884870,9,14,23
W2781475597,4,15,19
W3049229825,7,21,28
W2972948364,4,15,19
W2906774058,3,8,11
W2789587000,5,11,16
W2793556912,7,8,15
W2843845732,4,7,11
W2901794313,4,5,9
W2911944766,1,9,10
W2946681131,5,13,18
W2945802405,4,11,15
W3116675460,4,13,17
W3135515730,4,18,22
W2912399291,3,12,15
W2883310173,1,6,7
W2794847892,2,9,11
W2908481466,4,4,8
W3028500698,7,5,12
W2950606190,2,5,7
W3034755390,2,12,14
W3129342457,5,8,13
W4320917998,5,15,20
W4313644978,10,5,15
W3009700384,2,5,7
W4389092828,3,15,18
W4382361811,4,7,11
W3026586217,1,3,4
W4391691501,3,10,13
W2993130158,0,1,1
W4224258010,0,2,2
W4286457294,1,2,3
W4403110258,1,6,7
W4407269415,5,2,7
W4411507326,3,0,3
W2981963669,0,0,0
W2803908288,5,8,13
W2949694062,4,11,15
