iter	RMSE
116	0.8201523666
117	0.8197620156
118	0.8194000116
119	0.8189176714
120	0.8184960106
121	0.8179822782
122	0.8175162143
123	0.8168991037
124	0.8164047276
125	0.8157917946
126	0.8154332932
127	0.8148576974
128	0.8143218009
129	0.8138022282
130	0.8134100637
131	0.8132301874
132	0.8128286637
133	0.8124695695
134	0.8119155824
135	0.8115467875
136	0.811084077
137	0.8107594109
138	0.8103251395
139	0.8098117142
140	0.8094557727
141	0.8092069319
142	0.8087743182
143	0.8083263467
144	0.807920673
145	0.8076271023
146	0.807133577
147	0.8066801491
148	0.8061635946
149	0.8058031177
150	0.8056016211
151	0.8054369338
152	0.8048973388
153	0.8044587888
154	0.8040402331
155	0.8037354312
156	0.8033972299
157	0.8029455382
158	0.8025413663
159	0.8023030151
160	0.801903844
161	0.8015154256
162	0.8012469221
163	0.8010547249
164	0.8006635671
165	0.8001981495
166	0.7998984497
167	0.799478787
168	0.7992164982
169	0.7988980827
170	0.798490246
171	0.7980109467
172	0.7976529241
173	0.7974066837
174	0.7971260041
175	0.7967964851
176	0.796533286
177	0.7963261811
178	0.7961704314
179	0.7957437768
180	0.7953463867
181	0.7950385129
182	0.7945715482
183	0.7942640333
184	0.7938368554
185	0.7935440374
186	0.7931753919
187	0.792970813
188	0.7928094201
189	0.7924174406
190	0.7920857654
191	0.7919511188
192	0.7914685731
193	0.7913716715
194	0.7911498448
195	0.7907069119
196	0.790512279
197	0.7902524598
198	0.7899180835
199	0.789663621
200	0.7892575905
201	0.7890628469
202	0.7888782163
203	0.7887265886
204	0.7884729644
205	0.7882583115
206	0.7880526942
207	0.7876574084
208	0.7875054748
209	0.7871819001
210	0.786801004
211	0.7863825424
212	0.7861074858
213	0.7858729329
214	0.7857168388
215	0.7855045221
216	0.7853553609
217	0.7848634005
218	0.7844333658
219	0.7841229382
220	0.7839359416
221	0.7837987052
222	0.7837038062
223	0.7836664581
224	0.7832710535
225	0.7830255568
226	0.782643098
227	0.7824257303
228	0.7822687765
229	0.7820289127
230	0.781705033
231	0.7814051268
232	0.7811297338
233	0.7809052929
234	0.7805930319
235	0.7802591068
236	0.7799116671
237	0.7796303859
238	0.7793649685
239	0.7790813468
240	0.77879005
241	0.778406439
242	0.7782619377
243	0.7780132912
244	0.7778885914
245	0.7776526692
246	0.7771843502
247	0.7769785244
248	0.7768321297
249	0.7766263189
250	0.7763234472
251	0.7760379488
252	0.7758661854
253	0.7757051234
254	0.7754240969
255	0.7751775357
256	0.7750874453
257	0.7747371141
258	0.7742929989
259	0.7741844741
260	0.7736811827
261	0.773487023
262	0.7732920496
263	0.7732715174
264	0.7731597176
265	0.7730890026
266	0.7729175459
267	0.7726461916
268	0.7723943917
269	0.7723709884
270	0.7722649495
271	0.7720520056
272	0.7718518529
273	0.7716385657
274	0.7713791991
275	0.7711755001
276	0.7711379009
277	0.7711336224
278	0.7710333292
279	0.7705243339
280	0.7700471156
281	0.7698560497
282	0.7696140166
283	0.7694241376
284	0.769240925
285	0.7690509474
286	0.7688182504
287	0.7685747237
288	0.7684154695
289	0.7681397601
290	0.7678043099
291	0.7677954802
292	0.7676443245
293	0.7673979917
294	0.7670916769
295	0.7668834422
296	0.7667642401
297	0.7665323117
298	0.766392326
299	0.7661701479
300	0.766048479
301	0.7658059919
302	0.7656657214
303	0.7655200439
304	0.76519487
305	0.7650371237
306	0.7647749911
307	0.7645431906
308	0.7643855118
309	0.7642179615
310	0.7639932717
311	0.7638209933
312	0.7636487577
313	0.7636473118
314	0.7635444995
315	0.7635324146
316	0.7632954472
317	0.7631107552
318	0.7630440566
319	0.7628405464
320	0.762831586
321	0.7625694769
322	0.762347157
323	0.7621317332
324	0.7620811117
325	0.761939607
326	0.7617790268
327	0.7617715128
328	0.7614594212
329	0.7612587924
330	0.7611821911
331	0.7608302165
332	0.760821439
333	0.7605870208
334	0.7605424939
335	0.760236672
336	0.7602223851
337	0.7600882945
338	0.7599626244
339	0.7597922873
340	0.7596728384
341	0.7595921756
342	0.7595662067
343	0.7593082655
344	0.7592777557
345	0.7592568771
346	0.7591496216
347	0.7590488859
348	0.7587893822
349	0.7586993515
350	0.7583925273
351	0.758379953
352	0.758360724
353	0.7582507955
354	0.7581470312
355	0.7579132859
356	0.7578713656
357	0.7577685192
358	0.7575055208
359	0.7573270606
360	0.7572905557
361	0.756956638
362	0.7567328071
363	0.7566124422
364	0.7566007787
365	0.7565153548
366	0.7564964585
367	0.7563104478
368	0.7562802375
369	0.7560021625
370	0.755749494
371	0.7557477692
372	0.7555691276
373	0.7555577397
374	0.7555251366
375	0.7554469565
376	0.7553724042
377	0.7553710968
378	0.7553609522
379	0.7553087599
380	0.7551523629
381	0.7551286087
382	0.7549915821
383	0.7549463419
384	0.754790513
385	0.7546576894
386	0.754472815
387	0.7544167264
388	0.7543388128
389	0.7540879098
390	0.7539012947
391	0.7538967855
392	0.7537617191
393	0.753538367
394	0.7534994589
395	0.7534939221
396	0.7533886958
397	0.75324808
398	0.753045412
399	0.7529928533
400	0.7526635191
401	0.7525792094
402	0.7524843624
403	0.7524028098
404	0.7522761899
405	0.7522423211
406	0.752234886
407	0.752126652
408	0.7518547297
409	0.7516307929
410	0.7514261448
411	0.7512384119
412	0.7512338869
413	0.7510776648
414	0.7509808303
415	0.7507673834
416	0.7507326872
417	0.7504656637
418	0.7504490467
419	0.7504472736
420	0.7502843928
421	0.7500338724
422	0.7498532804
423	0.7498081218
424	0.749763854
425	0.7497442421
426	0.7497422682
427	0.7497332239
428	0.7496552761
429	0.7495224793
430	0.7493895274
431	0.7493688716
432	0.7491913932
433	0.7491873123
434	0.7491636704
435	0.749060158
436	0.7489319069
437	0.7487577828
438	0.7486089244
439	0.7484828531
440	0.7484424044
441	0.7483616321
442	0.7483499592
443	0.7482413206
444	0.7481503707
445	0.7477910299
446	0.7477868494
447	0.7477761325
448	0.7475337785
449	0.7473444531
450	0.7471639287
451	0.7469230457
452	0.7469111553
453	0.7467710889
454	0.7467064314
455	0.7463948992
456	0.7463783593
457	0.7463524439
458	0.7462908458
459	0.7462098247
460	0.7461173551
461	0.7460892552
462	0.7459870706
463	0.7459686335
464	0.7459611304
465	0.7457985876
466	0.7457908823
467	0.745465418
468	0.7453559952
469	0.7453363443
470	0.7450891136
471	0.7449108706
472	0.7448815741
473	0.744816711
474	0.7448039874
475	0.7446123583
476	0.7444204281
477	0.7440380802
478	0.7440107034
479	0.7440086423
480	0.7438358279
481	0.7437306834
482	0.7435854992
483	0.7434337967
484	0.7434267635
485	0.7432508929
486	0.742940515
487	0.7428320397
488	0.7428047519
489	0.7426386271
490	0.7424977195
491	0.7424875986
492	0.7423770197
493	0.7423750912
494	0.7421283782
495	0.7420211155
496	0.7419698287
497	0.7419628017
498	0.7417596079
499	0.7416730729
500	0.7416578917
501	0.7414227286
502	0.7412194556
503	0.7409944196
504	0.7408007056
505	0.740787809
506	0.7405896835
507	0.7404217895
508	0.7402408991
