iter	Passed	Remaining
444	1409	848
445	1413	846
446	1416	842
447	1418	839
448	1422	836
449	1425	833
450	1429	830
451	1431	826
452	1434	823
453	1438	820
454	1441	817
455	1445	814
456	1448	811
457	1451	808
458	1453	804
459	1457	801
460	1460	798
461	1463	794
462	1466	791
463	1469	788
464	1472	785
465	1476	782
466	1479	779
467	1483	776
468	1485	773
469	1488	769
470	1492	766
471	1495	763
472	1499	760
473	1502	757
474	1505	754
475	1509	751
476	1512	748
477	1515	745
478	1519	742
479	1522	739
480	1526	736
481	1529	732
482	1532	729
483	1536	726
484	1539	723
485	1542	720
486	1545	717
487	1548	714
488	1551	710
489	1554	707
490	1558	704
491	1561	701
492	1565	698
493	1568	695
494	1571	692
495	1575	689
496	1578	686
497	1581	682
498	1584	679
499	1588	676
500	1591	673
501	1594	670
502	1597	666
503	1600	663
504	1604	660
505	1608	657
506	1611	654
507	1614	651
508	1617	648
